exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 07,quant,mcq,Simple Interest on ₹1685 at 11% p.a. for 1 years is?,"[""285"",""135"",""185"",""235""]",185,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 455 km in 5 hours. Average speed (km/h)?,"[""101"",""91"",""96"",""86""]",91,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 400 km in 5 hours. Average speed (km/h)?,"[""80"",""85"",""75"",""90""]",80,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 468 km in 3 hours. Average speed (km/h)?,"[""161"",""151"",""166"",""156""]",156,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,quant,mcq,Simple Interest on ₹3941 at 5% p.a. for 2 years is?,"[""344"",""394"",""494"",""444""]",394,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 07,quant,mcq,"A completes work in 10 days, B in 9 days. Together, how many days?","[""5.7"",""3.7"",""4.7"",""5.2""]",4.7,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 07,quant,mcq,Number of permutations of 7 different objects taken all at a time:,"[""5047"",""5040"",""2520"",""5039""]",5040,7! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 07,quant,mcq,Simple Interest on ₹4047 at 9% p.a. for 1 years is?,"[""364"",""414"",""314"",""464""]",364,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 254 km in 3 hours. Average speed (km/h)?,"[""80"",""95"",""85"",""90""]",85,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 110 km in 3 hours. Average speed (km/h)?,"[""32"",""37"",""42"",""47""]",37,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,quant,mcq,"A completes work in 9 days, B in 8 days. Together, how many days?","[""4.7"",""5.2"",""3.2"",""4.2""]",4.2,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 499 km in 2 hours. Average speed (km/h)?,"[""250"",""245"",""255"",""260""]",250,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,quant,mcq,A train covers 191 km in 5 hours. Average speed (km/h)?,"[""48"",""33"",""43"",""38""]",38,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 07,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""West"",""East"",""North"",""South""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,Analogy — Doctor : Hospital :: Teacher : ?,"[""Clinic"",""Kennel"",""Classroom"",""School""]",School,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 6, 11, 16, 21, __","[""31"",""24"",""28"",""26""]",26,Arithmetic progression with d=5.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 3, 5, 7, 9, __","[""11"",""9"",""13"",""13""]",11,Arithmetic progression with d=2.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Aunt"",""Grandfather"",""Father"",""Mother""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Grandfather"",""Father"",""Mother"",""Aunt""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""North"",""West"",""South"",""East""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""North"",""West"",""South"",""East""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Mother"",""Grandfather"",""Father"",""Aunt""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""South"",""West"",""East"",""North""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,Analogy — Bird : Nest :: Bee : ?,"[""Hive"",""Clinic"",""Kennel"",""Classroom""]",Hive,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Mother"",""Aunt"",""Grandfather"",""Father""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 7, 10, 13, 16, __","[""22"",""21"",""17"",""19""]",19,Arithmetic progression with d=3.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Grandfather"",""Aunt"",""Father"",""Mother""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 3, 5, 7, 9, __","[""9"",""13"",""11"",""13""]",11,Arithmetic progression with d=2.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 6, 12, 18, 24, __","[""36"",""28"",""32"",""30""]",30,Arithmetic progression with d=6.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 5, 8, 11, 14, __","[""19"",""15"",""17"",""20""]",17,Arithmetic progression with d=3.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,reasoning,mcq,"Find the next term: 2, 5, 8, 11, __","[""17"",""12"",""14"",""16""]",14,Arithmetic progression with d=3.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 07,verbal,mcq,I will ____ the feedback.,"[""compose"",""consist"",""consume"",""consider""]",consider,"Correct usage is ""consider"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the synonym of ""diligent"".","[""hardworking"",""careless"",""neutral"",""rare""]",hardworking,"""hardworking"" is closest in meaning to ""diligent"".",mixed,"synonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the correct sentence: ""He don't likes playing.""","[""He doesn't like playing."",""He do not likes playing."",""He doesn't likes playing."",""He don't like playing.""]",He doesn't like playing.,Subject-verb agreement with 'doesn't like'.,mixed,"sentence-correction,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,I will ____ the feedback.,"[""consider"",""consist"",""compose"",""consume""]",consider,"Correct usage is ""consider"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the correct sentence: ""He don't likes playing.""","[""He doesn't like playing."",""He don't like playing."",""He do not likes playing."",""He doesn't likes playing.""]",He doesn't like playing.,Subject-verb agreement with 'doesn't like'.,mixed,"sentence-correction,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the synonym of ""prudent"".","[""neutral"",""rare"",""lengthy"",""wise""]",wise,"""wise"" is closest in meaning to ""prudent"".",mixed,"synonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,I will ____ the feedback.,"[""consume"",""consist"",""compose"",""consider""]",consider,"Correct usage is ""consider"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the antonym of ""hostile"".","[""friendly"",""delicate"",""increase"",""aggressive""]",friendly,"""friendly"" is opposite in meaning to ""hostile"".",mixed,"antonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the synonym of ""abundant"".","[""lengthy"",""careless"",""plentiful"",""rare""]",plentiful,"""plentiful"" is closest in meaning to ""abundant"".",mixed,"synonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the correct sentence: ""He don't likes playing.""","[""He doesn't like playing."",""He do not likes playing."",""He doesn't likes playing."",""He don't like playing.""]",He doesn't like playing.,Subject-verb agreement with 'doesn't like'.,mixed,"sentence-correction,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the antonym of ""obscure"".","[""hidden"",""clear"",""increase"",""delicate""]",clear,"""clear"" is opposite in meaning to ""obscure"".",mixed,"antonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,She has a ____ interest in physics.,"[""keen"",""kean"",""keel"",""keenly""]",keen,"Correct usage is ""keen"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,She has a ____ interest in physics.,"[""keen"",""keel"",""keenly"",""kean""]",keen,"Correct usage is ""keen"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the antonym of ""fragile"".","[""delicate"",""robust"",""aggressive"",""hidden""]",robust,"""robust"" is opposite in meaning to ""fragile"".",mixed,"antonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,I will ____ the feedback.,"[""consist"",""consider"",""consume"",""compose""]",consider,"Correct usage is ""consider"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the antonym of ""fragile"".","[""robust"",""increase"",""delicate"",""hidden""]",robust,"""robust"" is opposite in meaning to ""fragile"".",mixed,"antonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the antonym of ""augment"".","[""reduce"",""delicate"",""aggressive"",""increase""]",reduce,"""reduce"" is opposite in meaning to ""augment"".",mixed,"antonym,verbal"
Soft Skills Mastery — Mock 07,verbal,mcq,"Choose the correct sentence: ""He don't likes playing.""","[""He doesn't like playing."",""He do not likes playing."",""He doesn't likes playing."",""He don't like playing.""]",He doesn't like playing.,Subject-verb agreement with 'doesn't like'.,mixed,"sentence-correction,verbal"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""M"",""N"",""P"",""O""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""P"",""O"",""N"",""M""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""N"",""O"",""P"",""M""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"All apples are fruits. Some fruits are red. Therefore, some apples are red. (True/False/Cannot say)","[""False"",""Cannot say"",""True"",""None""]",Cannot say,Conclusion is not guaranteed.,mixed,"syllogism,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""O"",""P"",""N"",""M""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"All apples are fruits. Some fruits are red. Therefore, some apples are red. (True/False/Cannot say)","[""True"",""Cannot say"",""None"",""False""]",Cannot say,Conclusion is not guaranteed.,mixed,"syllogism,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"Statement: ""Most engineers enjoy math."" Conclusion: ""Rahul is an engineer; therefore he enjoys math.""","[""True"",""Probably"",""Cannot say"",""False""]",Cannot say,Generalization doesn't guarantee individual truth.,mixed,"logic,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"Statement: ""Most engineers enjoy math."" Conclusion: ""Rahul is an engineer; therefore he enjoys math.""","[""False"",""True"",""Cannot say"",""Probably""]",Cannot say,Generalization doesn't guarantee individual truth.,mixed,"logic,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""P"",""N"",""O"",""M""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"All apples are fruits. Some fruits are red. Therefore, some apples are red. (True/False/Cannot say)","[""False"",""None"",""Cannot say"",""True""]",Cannot say,Conclusion is not guaranteed.,mixed,"syllogism,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"All apples are fruits. Some fruits are red. Therefore, some apples are red. (True/False/Cannot say)","[""Cannot say"",""False"",""True"",""None""]",Cannot say,Conclusion is not guaranteed.,mixed,"syllogism,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"Statement: ""Most engineers enjoy math."" Conclusion: ""Rahul is an engineer; therefore he enjoys math.""","[""False"",""True"",""Probably"",""Cannot say""]",Cannot say,Generalization doesn't guarantee individual truth.,mixed,"logic,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"Statement: ""Most engineers enjoy math."" Conclusion: ""Rahul is an engineer; therefore he enjoys math.""","[""Probably"",""False"",""Cannot say"",""True""]",Cannot say,Generalization doesn't guarantee individual truth.,mixed,"logic,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""N"",""P"",""O"",""M""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""P"",""M"",""O"",""N""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"All apples are fruits. Some fruits are red. Therefore, some apples are red. (True/False/Cannot say)","[""Cannot say"",""False"",""True"",""None""]",Cannot say,Conclusion is not guaranteed.,mixed,"syllogism,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"Statement: ""Most engineers enjoy math."" Conclusion: ""Rahul is an engineer; therefore he enjoys math.""","[""False"",""True"",""Probably"",""Cannot say""]",Cannot say,Generalization doesn't guarantee individual truth.,mixed,"logic,logical"
Soft Skills Mastery — Mock 07,logical,mcq,"In a code language, if A=Z, B=Y, ... (reverse alphabet), what is the code for ""M""?","[""P"",""N"",""M"",""O""]",N,Reverse mapping: M(13) ↔ N(14).,mixed,"coding-decoding,logical"
