id,text,type,options_json,correct_index,explanation,topic,difficulty
19,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""LOGIC"" is written as 46, what is ""QUEUE"" written as?",mcq,"[""69"",""68"",""70"",""71""]",0,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
20,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""MATH"" is written as 42, what is ""SERIES"" written as?",mcq,"[""74"",""77"",""76"",""75""]",3,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
21,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""ARRAY"" is written as 63, what is ""LOGIC"" written as?",mcq,"[""47"",""45"",""46"",""48""]",2,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
22,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""CAT"" is written as 24, what is ""SERIES"" written as?",mcq,"[""76"",""75"",""74"",""77""]",1,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
23,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""CODE"" is written as 27, what is ""ARRAY"" written as?",mcq,"[""63"",""62"",""64"",""65""]",0,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
24,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""PUZZLE"" is written as 106, what is ""CAT"" written as?",mcq,"[""26"",""23"",""24"",""25""]",2,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
25,"Find the next number: 3, 9, 27, 81, 243 , ?",mcq,"[""730"",""729"",""731"",""728""]",1,Geometric progression with ratio 3.,Series,mixed
26,"Find the next number: 17, 23, 20, 26, 23 , ?",mcq,"[""31"",""28"",""30"",""29""]",3,"Alternating +6, -3.",Series,mixed
27,"Find the next number: 6, 11, 16, 21, 26 , ?",mcq,"[""31"",""30"",""32"",""33""]",0,Arithmetic progression with common difference 5.,Series,mixed
28,"Find the next number: 13, 19, 25, 31, 37 , ?",mcq,"[""42"",""43"",""45"",""44""]",1,Arithmetic progression with common difference 6.,Series,mixed
29,"Find the next number: 5, 9, 13, 17, 21 , ?",mcq,"[""27"",""25"",""26"",""24""]",1,Arithmetic progression with common difference 4.,Series,mixed
30,"Find the next number: 2, 6, 18, 54, 162 , ?",mcq,"[""485"",""487"",""488"",""486""]",3,Geometric progression with ratio 3.,Series,mixed
31,"Find the next number: 13, 16, 19, 22, 25 , ?",mcq,"[""30"",""28"",""27"",""29""]",1,Arithmetic progression with common difference 3.,Series,mixed
32,"Find the next number: 3, 6, 12, 24, 48 , ?",mcq,"[""95"",""98"",""96"",""97""]",2,Geometric progression with ratio 2.,Series,mixed
33,"In a group of 108 people, 39 like Tea, 27 like Coffee, and 15 like both.
How many like only Coffee?",mcq,"[""12"",""10"",""13"",""14""]",0,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
34,"In a group of 99 people, 46 like Tea, 26 like Coffee, and 17 like both.
How many like only Coffee?",mcq,"[""7"",""10"",""11"",""9""]",3,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
35,"In a group of 88 people, 59 like Tea, 48 like Coffee, and 39 like both.
How many like at least one of Tea or Coffee?",mcq,"[""70"",""69"",""68"",""66""]",2,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
36,"In a group of 104 people, 38 like Tea, 28 like Coffee, and 21 like both.
How many like at least one of Tea or Coffee?",mcq,"[""47"",""43"",""46"",""45""]",3,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
37,"In a test, the scores are:
Eshan=70, Aman=76, Chirag=74.
Who scored the highest?",mcq,"[""Chirag"",""Aman"",""Eshan""]",1,Compare the given numbers.,Analytical Reasoning,mixed
38,"In a test, the scores are:
Bela=68, Eshan=80, Dia=70.
Who scored the second highest?",mcq,"[""Eshan"",""Bela"",""Dia""]",2,Compare the given numbers.,Analytical Reasoning,mixed
39,"In a test, the scores are:
Eshan=78, Chirag=74, Bela=84.
Who scored the highest?",mcq,"[""Bela"",""Eshan"",""Chirag""]",0,Compare the given numbers.,Analytical Reasoning,mixed
40,"In a test, the scores are:
Bela=75, Eshan=66, Chirag=67.
Who scored the second highest?",mcq,"[""Bela"",""Eshan"",""Chirag""]",2,Compare the given numbers.,Analytical Reasoning,mixed
41,Bharat is the son of Deep. Anita is the sister of Bharat. How is Anita related to Deep?,mcq,"[""Uncle"",""Daughter"",""Brother"",""Mother""]",1,Map roles carefully from the statements.,Blood Relations,mixed
42,Divya is the mother of Chetan. Bharat is the husband of Divya. How is Bharat related to Chetan?,mcq,"[""Mother"",""Brother"",""Father"",""Uncle""]",2,Map roles carefully from the statements.,Blood Relations,mixed
43,"A person starts from a point, walks 2 units West, then 5 units South, then 3 units North. In which direction is the person from the starting point now?",mcq,"[""South-West"",""North"",""West"",""South""]",0,Resolve x/y displacement and convert to compass direction.,Direction Sense,mixed
44,"A person starts from a point, walks 3 units South, then 3 units North, then 3 units West. In which direction is the person from the starting point now?",mcq,"[""North-East"",""North"",""South-East"",""West""]",3,Resolve x/y displacement and convert to compass direction.,Direction Sense,mixed
45,"Find the next number: 6, 18, 54, 162, 486 , ?",mcq,"[""1457"",""1459"",""1460"",""1458""]",3,Geometric progression with ratio 3.,Series,mixed
46,"Find the next number: 14, 20, 19, 25, 24 , ?",mcq,"[""30"",""31"",""32"",""29""]",0,"Alternating +6, -1.",Series,mixed
47,"Find the next number: 6, 24, 96, 384, 1536 , ?",mcq,"[""6145"",""6143"",""6146"",""6144""]",3,Geometric progression with ratio 4.,Series,mixed
48,"Find the next number: 10, 16, 22, 28, 34 , ?",mcq,"[""39"",""42"",""41"",""40""]",3,Arithmetic progression with common difference 6.,Series,mixed
49,"Find the next number: 5, 15, 45, 135, 405 , ?",mcq,"[""1214"",""1216"",""1215"",""1217""]",2,Geometric progression with ratio 3.,Series,mixed
50,"Find the next number: 6, 12, 18, 24, 30 , ?",mcq,"[""37"",""35"",""38"",""36""]",3,Arithmetic progression with common difference 6.,Series,mixed
