exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags,,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,operating-systems,mcq,Which statement is FALSE?,"[""TLB does associative search on valid entries using VA page number"",""If VA hits in TLB but cache misses, the word is in main memory"",""With hashed page tables, two VAs colliding may have different access times"",""Using inverted page table, memory access time is always same for all VAs""]","Using inverted page table, memory access time is always same for all VAs",(A) True for typical TLBs; (B) True: TLB gives PA; cache miss falls back to memory; (C) True: chain lengths vary; (D) False: search cost can vary.,easy,virtual-memory,tlb,page-tables,,,,,,,,,,,,,,,,
GATE Mock — Set 04,operating-systems,msq,Deadlocks: which statements are TRUE?,"[""With multiple instances per resource, a cycle in wait-for-graph implies deadlock"",""If every edge in the resource-allocation graph is an assignment edge, system is not deadlocked"",""Circular wait is a necessary condition for deadlock"",""If current allocation is unsafe then a deadlock will necessarily occur""]","[""If every edge in the resource-allocation graph is an assignment edge, system is not deadlocked"",""Circular wait is a necessary condition for deadlock""]","(A) Not necessarily; (B) True: no pending requests; (C) True (necessary, not sufficient); (D) False: unsafe ≠ deadlocked.",medium,deadlocks,rag,banker,,,,,,,,,,,,,,,,
GATE Mock — Set 04,computer-organization,mcq,Two 4-bit 2’s complement registers R1 and R2 are added (R1+R2). Which pair causes overflow?,"[""1001 + 1111"",""1100 + 1010"",""1011 + 1110"",""0011 + 0100""]",1100 + 1010,"Sum of two negative numbers (−4)+(-6)=−10 which is outside 4-bit 2’s-complement range [−8,7] ⇒ overflow. Others remain in range.",easy,arithmetic,overflow,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,dbms,mcq,Which statement is TRUE in the relational model?,"[""A relation with only two attributes is always in BCNF"",""BCNF decomposition always preserves all FDs"",""Every relation has at least one non-prime attribute"",""If all attributes are prime, the relation is in BCNF""]",A relation with only two attributes is always in BCNF,"With only two attributes, any nontrivial FD is either A→B or B→A making determinant a key; decomposition FD preservation need not hold; other claims are not always true.",easy,normalization,bcnf,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,dbms,mcq,Schedule S: R1(x) R2(x) R3(x) R4(y) W2(y) W1(x) W3(y) R4(y). The correct topological (conflict) order is:,"[""T4 → T1 → T3 → T2"",""T1 → T4 → T3 → T2"",""T3 → T1 → T4 → T2"",""T1 → T3 → T4 → T2""]",T1 → T3 → T4 → T2,"Precedence constraints yield T1 before T3 (W1(x) after reads), T3 before T4 (W3(y) before R4(y)), and T4 before T2 (W2(y) before others), giving T1→T3→T4→T2.",medium,transactions,serializability,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,verbal-ability,mcq,The __________ is too high for it to be considered ________.,"[""Fare / Fair"",""Fair / Fare"",""Faer / Fair"",""Fare / fare""]",Fare / Fair,Fare' is the price; 'fair' means reasonable. So: “The fare is too high to be considered fair.”,easy,english,usage,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,reasoning,mcq,Pick the additional plates to form a 5-letter palindrome using all five once (plates can be rotated).,"[""Option A"",""Option B"",""Option C"",""Option D""]",Option A,"Only Option A allows forming RADAR (by rotating plates appropriately), a 5-letter palindrome.",easy,patterns,palindrome,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,aptitude,mcq,Area under y(x)= {1/2 for 0≤x≤1/3; 3x/4 for 1/3≤x≤3/4; 1 for 3/4≤x≤1} over [01]:,"[""13/6"",""5/6"",""6/13"",""6/5""]",13-Jun,"Sum areas: rectangle (1/2·1/3)=1/6, trapezoid ∫{1/3}^{3/4} (3x/4)dx= (3/8)( (3/4)^2−(1/3)^2 )=… plus last rectangle 1·(1−3/4)=1/4 ⇒ total 13/6.",easy,"area,piecewise",area,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,logical-reasoning,mcq,Which statements cannot be true simultaneously (assume at least one student): 1) All students are inquisitive 2) Some students are inquisitive 3) No students are inquisitive 4) Some students are not inquisitive,"[""Statements 1 and 3"",""Statements 3 and 4"",""Statements 2 and 4"",""Statements 1 and 2""]",Statements 1 and 3,“All” and “none” are mutually exclusive; other pairs can co-exist or are not necessarily contradictory.,easy,logic,quantifiers,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,reading-comprehension,mcq,Metrics and work culture: which inference follows?,"[""Metrics are useful in organizations with poor work culture"",""Metrics are always counterproductive in organizations with good work culture"",""Metrics are never useful in organizations with good work culture"",""Metrics are useful in organizations with good work culture""]",Metrics are useful in organizations with good work culture,Passage contrasts outcomes by culture; only (D) is entailed.,easy,rc,inference,,,,,,,,,,,,,,,,,
GATE Mock — Set 04,quant,mcq,Boys are 65% of test takers; girls 35% and they are 60% of those qualified. Which inference is correct?,"[""Equal numbers appeared"",""Fewer boys qualified than girls"",""Fewer boys appeared than girls"",""Equal numbers qualified""]",Fewer boys qualified than girls,Girls form 60% of qualified while being only 35% of takers ⇒ qualified girls > qualified boys.,easy,percentages,logic,,,,,,,,,,,,,,,,,
GATE Mock — Set 07,logical,mcq,"If two distinct non-zero variables x and y are such that (x+y) is proportional to (x−y), then the value of x/y is","[""Depends on xy"",""Depends only on x and not on y"",""Depends only on y and not on x"",""is a constant""]",is a constant,"(x+y)=k(x−y) ⇒ x(1+k)=y(−1+k) ⇒ x/y=(k−1)/(k+1), a constant (for fixed k).",medium,"algebra,proportionality,logical-reasoning",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
