exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags,,,,,,,,,,,,,,,,,
GATE Mock — Set 05,general-aptitude,mcq,Music during exercise improves performance; study on music while studying was inconclusive: students needing external stimulation did worse; those not needing it benefited. Correct inference:,"[""Clear positive for exercise; positive for learning only for some students"",""Clear positive for exercise and learning for all"",""Clear positive for learning for all; positive for some who exercise"",""No effect on learning; positive on exercise""]",Clear positive for exercise; positive for learning only for some students,Exercise effect is clearly positive; learning benefit depends on student type.,easy,rc,inference,,,,,,,,,,,,,,,,
GATE Mock — Set 05,aptitude,mcq,"Two wizards try to create a spell using all the four elements (water, air, fire, earth) in all possible orders, working independently. How many attempts does each wizard make?","[""24"",""48"",""16"",""12""]",24,Permutations of 4 distinct elements = 4! = 24.,easy,"permutations,arrangements,numerical-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"In a college of 10,000 students, 1,500 like neither core nor other branches. Core branch likers = 1/4 of other branch likers. Both = 500. Find the number of students who like core branches.","[""1800"",""3500"",""1600"",""1500""]",1800,C∪O=10000−1500=8500; let C=O/4; C∩O=500 ⇒ 8500=C+O−500=5C−500 ⇒ C=1800.,easy,"set-theory,venn,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"For positive non-zero real x and y, if (1/2)·ln[(ln x + ln y)/2] = (ln x + ln y)/2, then the value of (x²+y²)/(xy) is:","[""1"",""1/2"",""2"",""4""]",2,Simplifying with log properties and antilog gives x²+y²=2xy ⇒ (x²+y²)/(xy)=2.,hard,"logarithms,algebra,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,aptitude,mcq,"In the sequence 6, 9, 14, x, 30, 41, a possible value of x is:","[""25"",""21"",""18"",""20""]",21,"Pattern adds consecutive odd numbers: +3, +5, +7, +9, +11 ⇒ x=14+7=21.",easy,"number-series,sequences,numerical-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,aptitude,mcq,"A person sells two items at the same price, gaining 10% on one and losing 10% on the other. The overall result is:","[""1% profit"",""2% profit"",""1% loss"",""2% loss""]",1% loss,Equal SP case: Net loss% = (p²/100). For p=10 ⇒ 1% loss.,easy,"profit-loss,percentage,numerical-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"The pie charts depict the shares of various power generation technologies in 2007 and 2023. Renewables = Hydro+Solar+Wind. Assuming total electricity is the same, what is the percentage increase in renewable share?","[""25%"",""50%"",""77.5%"",""62.5%""]",62.50%,2007 renewables = 30+5+5=40%. 2023 renewables = 35+20+10=65%. Increase = (65−40)/40×100 = 62.5%.,easy,"data-interpretation,pie-chart,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,A cube is cut into 8 equal pieces using straight cuts end-to-end. Minimum number of such cuts required is:,"[""3"",""4"",""7"",""8""]",3,"Three orthogonal cuts (x, y, z axes) yield 8 equal cubes.",easy,"spatial-reasoning,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"In a 4×4 array, each number equals the count of immediate neighbors (including diagonals) NOT having X. Last row has no X. What is the sum of the four numbers in the last row?","[""11"",""10"",""12"",""9""]",11,"Last row neighbor counts: 2,4,3,2. Sum = 11.",medium,"grids,puzzles,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,coa,mcq,"A computer with 4 MHz processor has a DMA controller that transfers 8 bytes in 1 cycle via cycle stealing. If 1% of processor cycles are used for DMA, what is the data transfer rate (in bits/sec)?","[""25,60,000"",""32,00"",""25,60,000"",""32,000""]","25,60,000","Cycle time = 0.25 µs. 1% ⇒ 25 µs interval. In 25 µs, 8 bytes (64 bits) transferred ⇒ (64/25×10⁻⁶) = 2.56×10⁶ bps = 25,60,000.",medium,"computer-organization,dma,throughput",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,digital-logic,mcq,"Let p = 'Fail grade can be given', q = 'Student scores >50%'. Consider: 'Fail grade cannot be given when student scores >50%'. Which is the correct propositional logic representation?","[""q -> ¬p"",""q -> p"",""p -> q"",""¬q -> p""]",q -> ¬p,Given statement means if q is true then fail grade cannot be given ⇒ q → ¬p.,easy,"propositional-logic,boolean-algebra",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,verbal,mcq,"If ‘→’ denotes increasing order of intensity, then the meaning of the words [dry → arid → parched] is analogous to [diet → fast → _______]. Which one of the given option is appropriate to fill the blank?","[""Starve"",""Reject"",""Feast"",""Deny""]",Starve,dry→arid→parched shows rising intensity of lack of moisture; diet→fast→starve mirrors increasing food abstinence/severity.,easy,"analogy,verbal-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"If two distinct non-zero variables x and y are such that (x+y) is proportional to (x−y), then the value of x/y is","[""Depends on xy"",""Depends only on x and not on y"",""Depends only on y and not on x"",""is a constant""]",is a constant,"(x+y)=k(x−y) ⇒ x(1+k)=y(−1+k) ⇒ x/y=(k−1)/(k+1), a constant (for fixed k).",medium,"algebra,proportionality,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,aptitude,mcq,"Consider the sample: 9, 18, 11, 14, 15, 17, 10, 69, 11, 13. The median is","[""13.5"",""14"",""11"",""18.7""]",13.5,"Sorted: 9,10,11,11,13,14,15,17,18,69. Median = (5th+6th)/2 = (13+14)/2 = 13.5.",easy,"statistics,median,numerical-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,aptitude,mcq,"The numbers of coins of ₹1, ₹5, and ₹10 are in the ratio 5:3:13. Of the total amount, the percentage in ₹5 coins is","[""21%"",""2/7·100%"",""10%"",""30%""]",10%,"Let counts be 5x,3x,13x ⇒ amounts 5x,15x,130x ⇒ total 150x; share of ₹5 coins = 15x/150x = 10%.",easy,"ratio-percentage,numerical-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"For positive non-zero p and q, if log(p²+q²)=log p + log q + 2 log 3, then the value of (p⁴+q⁴)/(p²q²) is","[""79"",""81"",""9"",""83""]",79,From log(p²+q²)=log(pq)+log 9 ⇒ p²+q²=9pq. Then (p⁴+q⁴)/(p²q²)=((p²+q²)²−2p²q²)/(p²q²)=(81−2)=79.,medium,"algebra,logs,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,verbal,mcq,"Fill the blanks: “Steve was advised to keep his head __(i)__ before heading __(ii)__ to bat; for, while he had a head __(iii)__ batting, he could only do so with a cool head __(iv)__ his shoulders.”","[""(i) down (ii) down (iii) on (iv) for"",""(i) on (ii) down (iii) for (iv) on"",""(i) down (ii) out (iii) for (iv) on"",""(i) on (ii) out (iii) on (iv) for""]",(i) down (ii) out (iii) for (iv) on,Idiomatic/prepositional fit: head down; heading out; head for (talent for) batting; head on (one’s shoulders).,medium,"grammar,fill-in-the-blanks,verbal-ability",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,A 54 cm × 4 cm sheet is rolled (long edges joined) into a cylinder. A cube with the same surface area as the sheet is also taken. The ratio (volume of cylinder)/(volume of cube) is,"[""1/π"",""2/π"",""3/π"",""4/π""]",1/π,"Sheet area 216 cm² ⇒ cube side a=6 ⇒ V_cube=216. Cylinder: circumference=54⇒r=27/π, h=4 ⇒ V=πr²h=216/π. Ratio=(216/π)/216=1/π.",medium,"mensuration,geometry,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,"A 2,000 kcal diet has macronutrient percentages as in the pie chart; fats (unsaturated+saturated+trans) total 45%. Given 9 kcal/g for fats, total fat grams consumed is","[""44.4"",""77.8"",""100"",""3600""]",100,45% of 2000 kcal = 900 kcal from fat; at 9 kcal/g ⇒ 900/9 = 100 g.,easy,"data-interpretation,units,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,logical,mcq,A 20 cm × 8 cm rectangle is folded 3 times along the line of symmetry perpendicular to its long edge. The final folded sheet perimeter (cm) is,"[""18"",""24"",""20"",""21""]",18,Each fold halves the long side: 20→10→5; short side halves once to 4. Final L×B = 5×4 ⇒ perimeter = 2(5+4)=18 cm.,medium,"spatial-reasoning,folding,logical-reasoning",,,,,,,,,,,,,,,,,
GATE Mock — Set 05,spatial-aptitude,mcq,Least number of squares to add so that AB becomes a line of symmetry (per the figure) is,"[""6"",""4"",""5"",""7""]",6,Adding the six mirrored squares across AB yields bilateral symmetry about AB.,easy,"symmetry,figures,spatial-aptitude",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
