id,text,type,options_json,correct_index,explanation,topic,difficulty
12,"A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30° with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60°. What is the distance between the base of the tower and the point P?",mcq,"[""43 units"", ""8 units"", ""12 units"", ""Data inadequate"", ""None of these""]",3,"The question doesn't provide enough info like height of the tower or the distance walked. Hence, data is inadequate.",,mixed
13,The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is:,mcq,"[""2.3 m"", ""4.6 m"", ""7.8 m"", ""9.2 m""]",3,Using cos(60°) = base/hypotenuse ? 1/2 = 4.6 / length ? length = 4.6 × 2 = 9.2 m.,,mixed
14,An observer 1.6 m tall is 203 m away from a tower. The angle of elevation from his eye to the top of the tower is 30°. The height of the tower is:,mcq,"[""21.6 m"", ""23.2 m"", ""24.72 m"", ""None of these""]",0,"From triangle: height above eye level = 203 / ?3 = 20 m, add observer's height ? total = 20 + 1.6 = 21.6 m.",,mixed
15,"From a point P on a level ground, the angle of elevation of the top tower is 30°. If the tower is 100 m high, the distance of point P from the foot of the tower is:",mcq,"[""149 m"", ""156 m"", ""173 m"", ""200 m""]",2,tan(30°) = 1/?3 = 100 / distance ? distance = 100?3 ? 173 m.,,mixed
16,"A can do a work in 15 days and B in 20 days. If they work on it together for 4 days, then the fraction of the work that is left is :",mcq,"[""1/4"", ""1/10"", ""7/15"", ""8/15""]",3,A's 1 day work = 1/15; B's 1 day work = 1/20. Combined 1 day work = 7/60. Work done in 4 days = 7/15. Remaining = 1 - 7/15 = 8/15.,,mixed
17,"A can lay railway track between two given stations in 16 days and B can do the same job in 12 days. With help of C, they did the job in 4 days only. Then, C alone can do the job in:",mcq,"[""9 1/5 days"", ""9 2/5 days"", ""9 3/5 days"", ""10""]",2,(A+B+C)'s 1 day work = 1/4. A's = 1/16; B's = 1/12. C's 1 day work = 1/4 - (1/16 + 1/12) = 1/9.6 = 5/48. C alone can do the work in 48/5 = 9 3/5 days.,,mixed
18,"A, B and C can do a piece of work in 20, 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?",mcq,"[""12 days"", ""15 days"", ""16 days"", ""18 days""]",1,A's 2 days work = 2/20=1/10. (A+B+C)'s 1 day work = 1/20 + 1/30 + 1/60 = 1/10. Work done in 3 days = 1/10 + 1/10 = 1/5. Whole work in 3*5=15 days.,,mixed
19,"A is thrice as good as workman as B and therefore is able to finish a job in 60 days less than B. Working together, they can do it in:",mcq,"[""20 days"", ""22 1/2 days"", ""25 days"", ""30 days""]",1,"Ratio of times A:B = 1:3. Difference = 60 days ? B takes 90 days, A takes 30 days. Combined work per day = 1/30 + 1/90 = 4/90 = 2/45. Time taken = 45/2 = 22.5 days.",,mixed
20,"A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. How much is to be paid to C?",mcq,"[""Rs. 375"", ""Rs. 400"", ""Rs. 600"", ""Rs. 800""]",1,C's 1 day work = 1/3 - (1/6 + 1/8) = 1/24. Ratio of wages A:B:C = 4:3:1. C's share for 3 days = 3 × 1/24 × 3200 = Rs. 400.,,mixed
21,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,mcq,"[""Rs. 650"", ""Rs. 690"", ""Rs. 698"", ""Rs. 700""]",2,S.I. for 1 year = Rs. (854 - 815) = Rs. 39. S.I. for 3 years = Rs. (39 x 3) = Rs. 117. Principal = Rs. (815 - 117) = Rs. 698.,,mixed
22,"Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?",mcq,"[""Rs. 6400"", ""Rs. 6500"", ""Rs. 7200"", ""Rs. 7500"", ""None of these""]",0,"Let sum in A = x; sum in B = 13900 - x. Then, (x x 14 x 2)/100 + ((13900 - x) x 11 x 2)/100 = 3508 ? 28x - 22x = 350800 - (13900 x 22) ? 6x = 45000 ? x = 7500. So, invested in B = 13900 - 7500 = Rs. 6400.",,mixed
23,A sum fetched a total simple interest of Rs. 4016.25 at the rate of 9% p.a. in 5 years. What is the sum?,mcq,"[""Rs. 4462.50"", ""Rs. 8032.50"", ""Rs. 8900"", ""Rs. 8925"", ""None of these""]",3,Principal = (100 x 4016.25) / (9 x 5) = 401625 / 45 = Rs. 8925.,,mixed
24,How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,mcq,"[""3.5 years"", ""4 years"", ""4.5 years"", ""5 years""]",1,Time = (100 x 81) / (450 x 4.5) = 4 years.,,mixed
25,"Reena took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest?",mcq,"[""3.6"", ""6"", ""18"", ""Cannot be determined"", ""None of these""]",1,"Let rate = R%, time = R years. Then, (1200 x R x R) / 100 = 432 ? 12R² = 432 ? R² = 36 ? R = 6.",,mixed
26,"A bank offers 5% compound interest calculated on half-yearly basis. A customer deposits Rs. 1600 each on 1st January and 1st July of a year. At the end of the year, the amount he would have gained by way of interest is:",mcq,"[""Rs. 120"", ""Rs. 121"", ""Rs. 122"", ""Rs. 123""]",1,Amount = 1600 × (1 + 5/(2×100))^2 + 1600 × (1 + 5/(2×100)) = 3321. Compound Interest = 3321 - 3200 = Rs. 121.,,mixed
27,The difference between simple and compound interests compounded annually on a certain sum of money for 2 years at 4% per annum is Re. 1. The sum (in Rs.) is:,mcq,"[""625"", ""630"", ""640"", ""650""]",0,Let sum be x. CI = x(1 + 4/100)^2 - x = 51x/625; SI = 2x(4/100) = 2x/25; Difference = CI - SI = 1 ? 51x/625 - 2x/25 = 1 ? x=625.,,mixed
28,"There is 60% increase in an amount in 6 years at simple interest. What will be the compound interest of Rs. 12,000 after 3 years at the same rate?",mcq,"[""Rs. 2160"", ""Rs. 3120"", ""Rs. 3972"", ""Rs. 6240"", ""None of these""]",2,Rate = (60×100)/(100×6) = 10% p.a. CI = 12000 × [(1 + 10/100)^3 - 1] = 3972.,,mixed
29,What is the difference between the compound interests on Rs. 5000 for 1 year at 4% per annum compounded yearly and half-yearly?,mcq,"[""Rs. 2.04"", ""Rs. 3.06"", ""Rs. 4.80"", ""Rs. 8.30""]",0,CI yearly = 5000 × 1.04 = 5200; CI half-yearly = 5000 × (1 + 2/100)^2 = 5306.04; Difference = 2.04.,,mixed
30,"The compound interest on Rs. 30,000 at 7% per annum is Rs. 4347. The period (in years) is:",mcq,"[""2"", ""2 1/2"", ""3"", ""4""]",0,Amount = 30000 + 4347 = 34347; (1 + 7/100)^n = 34347/30000 ? 1.1449; n=2 years.,,mixed
31,"Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800, his gain percent is:",mcq,"[""4%"", ""7%"", ""5.5%"", ""11%"", ""10%"", ""12%""]",2,C.P. = 4700 + 800 = 5500; S.P. = 5800; Gain = 5800 - 5500 = 300; Gain% = (300/5500)*100 = 5.5%.,,mixed
32,"The cost price of 20 articles is the same as the selling price of x articles. If the profit is 25%, then the value of x is:",mcq,"[""15"", ""16"", ""18"", ""25""]",1,"Let C.P. per article = 1; then C.P. of 20 articles = 20, S.P. = 20; Profit = 25%; Profit = S.P. - C.P. ? Solve 2000 - 100x = 25x ? x = 16.",,mixed
33,"If selling price is doubled, the profit triples. Find the profit percent.",mcq,"[""66 2/3%"", ""100%"", ""105 1/3%"", ""120%""]",1,Let C.P. = x and S.P. = y; Given 3(y - x) = 2y - x ? y = 2x; Profit = y - x = x; Profit% = (x/x)*100 = 100%.,,mixed
34,"In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?",mcq,"[""30%"", ""70%"", ""100%"", ""250%""]",1,"C.P. = 100, Profit = 320, S.P. = 420; New C.P. = 125; New Profit = 420 - 125 = 295; Profit% of S.P. = (295/420)*100 ? 70%.",,mixed
35,A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?,mcq,"[""3"", ""4"", ""5"", ""6""]",2,C.P. of 6 toffees = 1; S.P. = 120% of 1 = 6/5 Rs.; Toffees sold for Rs.1 = 6 × 5/6 = 5.,,mixed
36,"A and B invest in a business in the ratio 3 : 2. If 5% of the total profit goes to charity and A's share is Rs. 855, the total profit is:",mcq,"[""Rs. 1425"", ""Rs. 1500"", ""Rs. 1537.50"", ""Rs. 1576""]",1,"Total profit = Rs. 100 (assumed); After charity, 95% left; A's share = 95 × 3/(3+2) = Rs. 57. So if A's share = Rs. 855, total profit = (100 × 855)/57 = Rs. 1500.",,mixed
37,"A, B and C invest Rs. 6500 for 6 months, Rs. 8400 for 5 months, and Rs. 10,000 for 3 months respectively. A receives 5% of profit for managing, total profit Rs. 7400. B's share is:",mcq,"[""Rs. 1900"", ""Rs. 2660"", ""Rs. 2800"", ""Rs. 2840""]",1,A's management share = 5% × 7400 = Rs. 370; Remaining profit = Rs. 7030; Investment ratios = 6500×6 : 8400×5 : 10000×3 = 13 : 14 : 10; B’s share = 7030 × 14/(13+14+10) = Rs. 2660.,,mixed
38,"A, B, and C enter partnership in ratio 7/2 : 4/3 : 6/5. After 4 months, A increases investment by 50%. Total profit Rs. 21,600. B's share is:",mcq,"[""Rs. 2100"", ""Rs. 2400"", ""Rs. 3600"", ""Rs. 4000""]",3,Initial ratio = 7/2 : 4/3 : 6/5 scaled to 105:40:36; A invests 105x for 4 months + 50% more (1.5 × 105x) for 8 months = 1680x; B = 40x × 12 = 480x; C = 36x × 12 = 432x; New ratio = 1680:480:432 = 35:10:9; B’s share = 21600 × 10/54 = Rs. 4000.,,mixed
39,"A, B, C subscribe Rs. 50,000; A subscribes Rs. 4000 more than B, and B Rs. 5000 more than C. Total profit Rs. 35,000. A's share is:",mcq,"[""Rs. 8400"", ""Rs. 11900"", ""Rs. 13600"", ""Rs. 14700""]",3,Let C = x; B = x+5000; A = x+9000; x + (x+5000) + (x+9000) = 50000 ? 3x=36000 ? x=12000; Ratios = 21000:17000:12000 = 21:17:12; A's share = 35000 × 21/50 = Rs. 14700.,,mixed
40,"Three partners share profit in ratio 5:7:8. They partner for 14, 8, and 7 months respectively. What is ratio of their investments?",mcq,"[""5:7:8"", ""20:49:64"", ""38:28:21"", ""None of these""]",1,"Let investments be x,y,z; Months × investments = 14x : 8y : 7z = 5 : 7 : 8; From equations, y = 49x/20, z = 16x; Ratio = x : 49x/20 : 16x = 20 : 49 : 64.",,mixed
41,A batsman scored 110 runs including 3 boundaries and 8 sixes. What percent of his total score did he make by running between wickets?,mcq,"[""45%"", ""45 5/11%"", ""54 6/11%"", ""55%""]",1,Runs by running = 110 - (3×4 + 8×6) = 110 - 60 = 50; Percentage = (50 × 100) / 110 = 45 5/11%.,,mixed
42,Two students appeared in an exam. One scored 9 marks more and his marks were 56% of the sum of their marks. Find their marks.,mcq,"[""39, 30"", ""41, 32"", ""42, 33"", ""43, 34""]",2,Let marks be x and x+9; x+9 = 56% of (2x + 9); Solving gives x=33; Marks = 42 and 33.,,mixed
43,A fruit seller sold 40% apples and still had 420 left. How many apples did he originally have?,mcq,"[""588"", ""600"", ""672"", ""700""]",3,Let original apples = x; Remaining = 60% of x = 420 ? x = (420 × 100)/60 = 700.,,mixed
44,What percentage of numbers from 1 to 70 have 1 or 9 in the units digit?,mcq,"[""1%"", ""14%"", ""20%"", ""21%""]",2,Numbers ending with 1 or 9 are 14 in count; Percentage = (14 × 100)/70 = 20%.,,mixed
45,"If A = x% of y and B = y% of x, then which is true?",mcq,"[""A < B"", ""A > B"", ""Cannot determine"", ""If x<y, A > B"", ""None of these""]",4,"A = (x × y)/100 and B = (y × x)/100, so A = B always.",,mixed
46,"Father is aged three times more than his son Ronit. After 8 years, he would be two and a half times of Ronit's age. After further 8 years, how many times would he be of Ronit's age?",mcq,"[""2 times"", ""2 1/2 times"", ""2 3/4 times"", ""3 times""]",0,"Ronit's age = x; Father = 4x (since 3 times more means x + 3x = 4x); (4x + 8) = (5/2)(x + 8) ? 3x = 24 ? x = 8; After 16 years: Father = 4x +16 = 48, Ronit = x +16 = 24; Ratio = 48/24 = 2.",,mixed
47,The sum of ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child?,mcq,"[""4 years"", ""8 years"", ""10 years"", ""None of these""]",0,"Ages: x, x+3, x+6, x+9, x+12; Sum = 5x + 30 = 50 ? 5x = 20 ? x = 4; Youngest child = 4 years.",,mixed
48,"A father said to his son, ""I was as old as you are at the present at the time of your birth"". Father's age is 38 now. What was son's age 5 years back?",mcq,"[""14 years"", ""19 years"", ""33 years"", ""38 years""]",0,Let son’s current age = x; Father's age - son’s age = x ? 38 - x = x ? 2x = 38 ? x = 19; Son's age 5 years back = 19 - 5 = 14 years.,,mixed
49,A is two years older than B who is twice as old as C. Total of their ages is 27. How old is B?,mcq,"[""7"", ""8"", ""9"", ""10"", ""11""]",3,Let C = x; B = 2x; A = 2x + 2; Sum: x + 2x + 2x + 2 = 27 ? 5x + 2 = 27 ? 5x = 25 ? x = 5; B = 2x = 10 years.,,mixed
50,"Present ages of Sameer and Anand are in ratio 5:4. After 3 years, ratio becomes 11:9. What is Anand's present age?",mcq,"[""24"", ""27"", ""40"", ""Cannot be determined"", ""None of these""]",0,"Let Sameer = 5x, Anand = 4x; (5x + 3)/(4x + 3) = 11/9 ? 9(5x + 3) = 11(4x + 3) ? 45x + 27 = 44x + 33 ? x = 6; Anand’s age = 4x = 24 years.",,mixed
