id,text,type,options_json,correct_index,explanation,topic,difficulty
33,"Find the next number: 17, 20, 19, 22, 21 , ?",mcq,"[""24"",""23"",""25"",""26""]",0,"Alternating +3, -1.",Series,mixed
34,"Find the next number: 2, 8, 32, 128, 512 , ?",mcq,"[""2048"",""2050"",""2049"",""2047""]",0,Geometric progression with ratio 4.,Series,mixed
35,"Find the next number: 5, 20, 80, 320, 1280 , ?",mcq,"[""5120"",""5121"",""5119"",""5122""]",0,Geometric progression with ratio 4.,Series,mixed
36,"Find the next number: 4, 8, 16, 32, 64 , ?",mcq,"[""128"",""127"",""129"",""130""]",0,Geometric progression with ratio 2.,Series,mixed
37,"In a group of 107 people, 43 like Tea, 33 like Coffee, and 26 like both.
How many like only Tea?",mcq,"[""19"",""15"",""17"",""18""]",2,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
38,"In a group of 109 people, 33 like Tea, 39 like Coffee, and 21 like both.
How many like at least one of Tea or Coffee?",mcq,"[""53"",""49"",""52"",""51""]",3,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
39,"In a group of 95 people, 36 like Tea, 27 like Coffee, and 21 like both.
How many like at least one of Tea or Coffee?",mcq,"[""40"",""42"",""44"",""43""]",1,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
40,"In a group of 95 people, 53 like Tea, 37 like Coffee, and 28 like both.
How many like at least one of Tea or Coffee?",mcq,"[""63"",""64"",""62"",""60""]",2,Use inclusion–exclusion: only Tea = Tea−Both; only Coffee = Coffee−Both; at least one = Tea+Coffee−Both.,Venn Diagrams,mixed
41,"In a test, the scores are:
Aman=67, Chirag=85, Eshan=81.
Who scored the highest?",mcq,"[""Eshan"",""Aman"",""Chirag""]",2,Compare the given numbers.,Analytical Reasoning,mixed
42,"In a test, the scores are:
Eshan=84, Aman=67, Chirag=74.
Who scored the second highest?",mcq,"[""Aman"",""Eshan"",""Chirag""]",2,Compare the given numbers.,Analytical Reasoning,mixed
43,"In a test, the scores are:
Eshan=67, Bela=83, Dia=66.
Who scored the highest?",mcq,"[""Bela"",""Dia"",""Eshan""]",0,Compare the given numbers.,Analytical Reasoning,mixed
44,"In a test, the scores are:
Eshan=84, Chirag=67, Dia=80.
Who scored the second highest?",mcq,"[""Eshan"",""Dia"",""Chirag""]",1,Compare the given numbers.,Analytical Reasoning,mixed
45,Anita is the mother of Deep. Chetan is the husband of Anita. How is Chetan related to Deep?,mcq,"[""Uncle"",""Brother"",""Father"",""Mother""]",2,Map roles carefully from the statements.,Blood Relations,mixed
46,Bharat is the son of Eshan. Anita is the sister of Bharat. How is Anita related to Eshan?,mcq,"[""Daughter"",""Mother"",""Brother"",""Uncle""]",0,Map roles carefully from the statements.,Blood Relations,mixed
47,"A person starts from a point, walks 5 units North, then 2 units South, then 2 units East. In which direction is the person from the starting point now?",mcq,"[""South-West"",""North-East"",""South"",""South-East""]",1,Resolve x/y displacement and convert to compass direction.,Direction Sense,mixed
48,"A person starts from a point, walks 5 units West, then 5 units East, then 5 units South. In which direction is the person from the starting point now?",mcq,"[""North-East"",""South"",""North-West"",""North""]",1,Resolve x/y displacement and convert to compass direction.,Direction Sense,mixed
49,"Find the next number: 8, 12, 16, 20, 24 , ?",mcq,"[""29"",""30"",""27"",""28""]",3,Arithmetic progression with common difference 4.,Series,mixed
50,"Find the next number: 18, 23, 20, 25, 22 , ?",mcq,"[""26"",""27"",""28"",""29""]",1,"Alternating +5, -3.",Series,mixed
