id,text,type,options_json,correct_index,explanation,topic,difficulty
21,"In a triangle, two angles are 61° and 60°. Find the third angle.",mcq,"[""119"",""120"",""90"",""59""]",3,,Geometry,mixed
22,"In a triangle, two angles are 34° and 41°. Find the third angle.",mcq,"[""139"",""105"",""146"",""90""]",1,,Geometry,mixed
23,"At 45° elevation, a tower is seen from 48 m away. Height of tower?",mcq,"[""96"",""24"",""53"",""48""]",3,tan45°=1 → h=d,Height & Distance,mixed
24,"At 45° elevation, a tower is seen from 17 m away. Height of tower?",mcq,"[""22"",""9"",""17"",""34""]",2,tan45°=1 → h=d,Height & Distance,mixed
25,"Area of circle (r=14 cm), use π=22/7.",mcq,"[""88"",""638"",""1232"",""616""]",3,,Mensuration,mixed
26,"Area of circle (r=13 cm), use π=22/7.",mcq,"[""82"",""531"",""1062"",""553""]",1,,Mensuration,mixed
27,"Distance between (5,1) and (10,6).",mcq,"[""10"",""5"",""5"",""7.07""]",3,,Co-ordinate Geometry,mixed
28,"Distance between (5,1) and (10,6).",mcq,"[""7.07"",""5"",""10"",""5""]",0,,Co-ordinate Geometry,mixed
29,How many combinations: 8C2?,mcq,"[""8"",""31"",""28"",""56""]",2,,Permutations & Combinations,mixed
30,How many combinations: 7C3?,mcq,"[""35"",""210"",""21"",""38""]",0,,Permutations & Combinations,mixed
31,A fair die is rolled. Probability of a prime number?,mcq,"[""1/6"",""1/2"",""2/3"",""1/3""]",1,,Probability,mixed
32,A fair die is rolled. Probability of a prime number?,mcq,"[""1/2"",""1/6"",""2/3"",""1/3""]",0,,Probability,mixed
33,Simple Interest on ₹1183 at 10% p.a. for 2 years?,mcq,"[""337"",""187"",""237"",""248""]",2,,Simple & Compound Interest,mixed
34,Simple Interest on ₹3312 at 10% p.a. for 2 years?,mcq,"[""696"",""662"",""762"",""612""]",1,,Simple & Compound Interest,mixed
35,Sum of ages = 60. Ratio 5:4. Elder's age?,mcq,"[""31"",""35"",""33"",""27""]",2,,Ages,mixed
36,Sum of ages = 47. Ratio 5:4. Elder's age?,mcq,"[""24"",""26"",""21"",""28""]",1,,Ages,mixed
37,Evaluate: log₁₀(10^2).,mcq,"[""0"",""3"",""2"",""1""]",2,,Logs,mixed
38,Evaluate: log₁₀(10^3).,mcq,"[""3"",""4"",""0"",""2""]",0,,Logs,mixed
39,"In a class, 22 like Maths, 31 like Science, 15 like both. How many like at least one?",mcq,"[""53"",""38"",""15"",""-9""]",1,n(A∪B)=A+B−both,Sets,mixed
40,"In a class, 36 like Maths, 29 like Science, 14 like both. How many like at least one?",mcq,"[""7"",""65"",""51"",""14""]",2,n(A∪B)=A+B−both,Sets,mixed
41,Find LCM of 16 and 23.,mcq,"[""367"",""368"",""367"",""370""]",1,,Number System,mixed
42,A fair die is rolled. Probability of a prime number?,mcq,"[""1/3"",""2/3"",""1/6"",""1/2""]",3,,Probability,mixed
43,Evaluate: log₁₀(10^2).,mcq,"[""3"",""0"",""2"",""1""]",2,,Logs,mixed
44,"Distance between (3,1) and (9,5).",mcq,"[""6"",""4"",""7.21"",""10""]",2,,Co-ordinate Geometry,mixed
45,Two pipes fill a tank in 7 min and 11 min. Together time? (min),mcq,"[""77"",""18"",""11"",""4.28""]",3,Same as Work.,Pipes & Cisterns,mixed
46,A car at 56 km/h for 2 h covers how many km?,mcq,"[""112"",""122"",""102"",""58""]",0,,Speed–Distance–Time,mixed
47,A car at 53 km/h for 3 h covers how many km?,mcq,"[""159"",""56"",""169"",""149""]",0,,Speed–Distance–Time,mixed
48,Evaluate: log₁₀(10^3).,mcq,"[""4"",""2"",""0"",""3""]",3,,Logs,mixed
49,Find LCM of 16 and 8.,mcq,"[""15"",""18"",""16"",""15""]",2,,Number System,mixed
50,Divide ₹279 in the ratio 5:7. Share of first person?,mcq,"[""279"",""162.75"",""139.5"",""116.25""]",3,,Ratio & Proportion,mixed
