id,text,type,options_json,correct_index,explanation,topic,difficulty
36,Choose the grammatically correct sentence:,mcq,"[""She do not like tea."",""She does not like tea."",""she does not like tea."",""She does not likes tea.""]",1,Subject-verb agreement requires ""does not like"".,Sentence Correction,mixed
37,Choose the grammatically correct sentence:,mcq,"[""He is senior than me."",""He is senior to me."",""he is senior to me."",""He  is senior than me.""]",1,""Senior to"" is the correct idiom.,Sentence Correction,mixed
38,Choose the grammatically correct sentence:,mcq,"[""Neither of the two are correct."",""Neither  of the two are correct."",""Neither of the two is correct."",""neither of the two is correct.""]",2,Use singular verb with ""Neither of the two"".,Sentence Correction,mixed
39,Choose the grammatically correct sentence:,mcq,"[""The sceneries here are beautiful."",""The scenery here is beautiful."",""the scenery here is beautiful."",""Scenery here are beautiful.""]",1,""Scenery"" is uncountable and takes singular verb.,Sentence Correction,mixed
40,Choose the grammatically correct sentence:,mcq,"[""He is living here since 2010."",""He has been living here since 2010."",""he has been living here since 2010."",""He had been living here since 2010.""]",1,Present perfect continuous with ""since 2010"".,Sentence Correction,mixed
41,Choose the grammatically correct sentence:,mcq,"[""I am knowing the answer."",""I knows the answer."",""I know the answer."",""i know the answer.""]",2,Use simple present: ""I know the answer."",Sentence Correction,mixed
42,"Arrange the parts to form a coherent paragraph:
C. Local musicians performed throughout the day.
A. The festival drew visitors from many cities.
D. The park was decorated with lights and banners.
B. Stalls offered regional snacks and handicrafts.",mcq,"[""ABCD"",""ACBD"",""BACD"",""CABD""]",0,Logical flow: A (overview) → B (stalls) → C (music) → D (decor).,Para Jumbles,mixed
43,"Arrange the parts to form a coherent paragraph:
B. Teams formed around shared interests.
A. The workshop began with a quick warm-up.
D. By evening, prototypes were shown.
C. Mentors guided the brainstorming.",mcq,"[""ABCD"",""ACBD"",""BACD"",""BCAD""]",0,Logical flow: A → B → C → D.,Para Jumbles,mixed
44,"All poets are dreamers. Some dreamers are teachers.
Which conclusion follows?",mcq,"[""Some poets may be teachers."",""All dreamers are poets."",""No teacher is a poet."",""Some teachers are not dreamers.""]",0,Basic syllogism/logic.,Verbal Reasoning,mixed
45,"No apples are blue. Some fruits are apples.
Which conclusion follows?",mcq,"[""Some fruits are not blue."",""All fruits are blue."",""Some apples are blue."",""No fruits are blue.""]",0,Basic syllogism/logic.,Verbal Reasoning,mixed
46,He is known _____ his honesty.,mcq,"[""with"",""by"",""for"",""to""]",2,The correct preposition is ""for"".,Fill in the Blanks,mixed
47,She insisted _____ paying the bill.,mcq,"[""on"",""at"",""for"",""to""]",0,The correct preposition is ""on"".,Fill in the Blanks,mixed
48,This problem is tough, _____ we can solve it together.,mcq,"[""and"",""so"",""or"",""but""]",3,""but"" shows contrast.,Fill in the Blanks,mixed
49,The train arrives _____ 7 a.m.,mcq,"[""at"",""on"",""in"",""by""]",0,""at"" with clock times.,Fill in the Blanks,mixed
50,She is good _____ mathematics.,mcq,"[""at"",""in"",""with"",""for""]",0,Common collocation: ""good at"".,Fill in the Blanks,mixed
